seed,profile,forward_mean,feedback_mean,round_trip_mean,round_trip_p95,round_trip_p99,round_trip_max,pa_reduction_vs_sco_pct,pa_reduction_vs_forced_pct,pa_reduction_vs_stopwait_pct,sco_redundant_attempt_rate,pa_redundant_attempt_rate,stopwait_redundant_attempt_rate,sco_stale_arrival_rate,pa_stale_arrival_rate,stopwait_stale_arrival_rate,sco_post_cost,pa_post_cost,stopwait_post_cost,forced_post_cost,pa_calendar_delay,pa_observation_delay
20266004,heavy_iid,2.004950495049505,2.016398514851485,4.02134900990099,12.0,22.0,22,62.77282987344944,61.85915116534546,59.6797595243659,0.74984375,0.3990625,0.099296875,0.06311740536760206,0.07489525139664804,0.016417780106540915,1260.7477575635821,469.34071257486585,1164.0325232149667,1230.5460599723876,49.484848484848484,7.424242424242424
20266004,lognormal,2.337654702970297,2.3528774752475248,4.690532178217822,14.0,34.0,101,68.1476118673758,67.73302557241372,38.10142358427752,0.78984375,0.45453125,0.21375,0.08878790526959714,0.056171922774526074,0.03216502054016257,1702.848034690963,542.3977653185285,876.2685617770643,1680.968776715587,50.46875,7.5625
20266004,markov_burst,2.0327196782178216,2.016862623762376,4.049582301980198,7.0,12.0,12,75.55501768905476,75.13755216455186,53.993159202666604,0.750546875,0.32765625,0.0615625,0.06211830396091433,0.022872108249672632,0.0031474033922014337,1939.6445751031788,474.14577327918084,1030.5984176741447,1907.0759903341377,50.121212121212125,7.606060606060606
20266004,forward_heavy,2.004950495049505,2.0,4.0049504950495045,13.0,13.0,13,76.0593278030584,75.19924655491181,50.52264221526315,0.770546875,0.31875,0.065546875,0.0709480122324159,0.07153463184557603,0.01562772830452244,1921.772377016858,460.08522515297875,929.8904504049917,1855.1259991824918,49.93939393939394,7.606060606060606
20266004,feedback_heavy,2.0,2.016398514851485,4.016398514851486,13.0,13.0,13,80.03363838482628,78.859630100438,37.193312605171556,0.772265625,0.32390625,0.073828125,0.0,0.0,0.0,2320.3940784142737,463.29827259327175,737.6575517839206,2191.5334253582323,50.3125,7.59375
20266005,fixed,2.0,2.0,4.0,4.0,4.0,4,88.16508563896494,87.05679139119302,6.266569294694245,0.801328125,0.255703125,0.0,0.0,0.0,0.0,3615.6452324463085,427.908516858867,456.51643563991024,3306.0466673441724,44.294117647058826,7.382352941176471
20266005,light_iid,2.0016398514851486,2.004238861386139,4.005878712871287,6.0,6.0,6,84.7558370764079,83.23893132222287,10.170633990286863,0.781875,0.326171875,0.09953125,0.11483669214732453,0.01606181628754992,0.0032148753149708925,2956.431558307717,450.68324347292116,501.71036877204426,2688.8693802112093,53.90909090909091,9.606060606060606
20266005,heavy_iid,2.0091274752475248,1.9972153465346534,4.006342821782178,12.0,12.0,22,64.08139110404113,62.52999732674719,64.58460758824488,0.742890625,0.391484375,0.100625,0.06766851980542044,0.07783755640402638,0.017553006604101494,1306.9854636934565,469.4509970310871,1325.5563896427884,1252.8715333297669,53.67741935483871,9.516129032258064
20266005,lognormal,2.3218595297029703,2.3590346534653466,4.680894183168316,14.0,34.0,125,69.48571675436767,68.29087334438746,37.458994685218336,0.78453125,0.444921875,0.206484375,0.09096432601336689,0.052928416485900215,0.03005820519503084,1789.5891804042915,546.0803114417556,873.1556339608259,1722.1550040549575,55.483870967741936,9.709677419354838
20266005,markov_burst,2.0199566831683167,2.0091274752475248,4.029084158415841,7.0,12.0,12,77.9784531646857,76.73621648774065,53.562972400965435,0.753828125,0.3365625,0.077421875,0.06200676437429538,0.024299227631693135,0.00521331132157442,2160.023794777309,475.6706516208182,1024.3348384139633,2044.6831074152387,52.61764705882353,9.5
20266005,forward_heavy,2.0091274752475248,2.0,4.009127475247524,13.0,13.0,13,77.37529161800529,76.05791749934887,50.429636342721594,0.769296875,0.30453125,0.072890625,0.07072111207645526,0.07202432667245873,0.015906127770534552,2035.8091718886885,460.59588835371716,929.1759316881428,1923.7920859273238,52.72727272727273,9.333333333333334
20266005,feedback_heavy,2.0,1.9972153465346534,3.9972153465346536,13.0,13.0,13,80.91258764053856,79.69794180482721,41.31571283483382,0.768515625,0.30453125,0.068125,0.0,0.0,0.0,2394.0460524741356,456.9614421111469,778.677673676149,2250.8133792060466,44.121212121212125,7.484848484848484
20266006,fixed,2.0,2.0,4.0,4.0,4.0,4,87.521432205107,86.69994254315417,6.602969475542488,0.8009375,0.25359375,0.0,0.0,0.0,0.0,3478.3751809448236,434.05140511493175,464.7379072734742,3263.5303007019406,46.696969696969695,7.393939393939394
20266006,light_iid,2.0016089108910893,1.9978032178217822,3.9994121287128714,6.0,6.0,6,83.62372487978611,82.13021272301123,11.657699808234659,0.77984375,0.323828125,0.09203125,0.11786243570743614,0.015447722115552452,0.0036566254570781823,2724.502882334219,446.1720876692088,505.04920825097315,2496.795741064877,45.84375,7.1875
20266006,heavy_iid,2.0083539603960396,1.994430693069307,4.002784653465347,12.0,22.0,22,62.073734821333495,60.90998195733052,63.09001007426093,0.741953125,0.3725,0.080703125,0.062385640846911214,0.07191481934019898,0.011495253853522599,1239.5516359723947,470.11564048538924,1273.6813026262994,1202.6488193794776,47.096774193548384,7.483870967741935
20266006,lognormal,2.331048886138614,2.3291460396039603,4.660194925742574,14.0,33.0,121,70.57570403798509,69.32187924853456,40.802984431690206,0.7825,0.433359375,0.2021875,0.08622796299528714,0.05408706272354532,0.031353422748650064,1819.1994098869022,535.2866185043508,904.2459545729332,1744.8481373448567,44.03448275862069,7.0344827586206895
20266006,markov_burst,2.025371287128713,2.0215810643564356,4.046952351485149,7.0,12.0,12,76.15241900451623,74.93259207180873,48.369009627839944,0.753203125,0.334453125,0.0796875,0.0631661715883278,0.023751309814879495,0.004183006535947713,2213.7469250874365,527.9250909952577,1022.4965416892724,2106.0218611655628,46.96875,7.40625
20266006,forward_heavy,2.0083539603960396,2.0,4.00835396039604,13.0,13.0,13,75.9443638030804,74.91319563863888,51.10529336616547,0.7671875,0.29484375,0.057421875,0.06488183483038283,0.06818578662475991,0.013239264872397875,1970.0214447076028,473.90119174016013,969.2280092590358,1889.0456708390739,46.225806451612904,7.290322580645161
20266006,feedback_heavy,2.0,1.994430693069307,3.9944306930693068,13.0,13.0,13,80.4226738470926,79.47505998463886,39.83568553328967,0.7671875,0.2934375,0.0628125,0.0,0.0,0.0,2302.831551276371,450.8328435454322,749.3359602640925,2196.5123562262456,45.46666666666667,7.4
20266007,fixed,2.0,2.0,4.0,4.0,4.0,4,88.35412421231582,87.32177713187842,9.799065146293778,0.80109375,0.262890625,0.0,0.0,0.0,0.0,4181.883776270505,487.0169901697794,539.9245484092326,3841.3663747333744,47.18181818181818,7.454545454545454
20266007,light_iid,2.0010829207920793,1.9996596534653466,4.000742574257425,6.0,6.0,6,84.67663636794373,83.61746714509341,12.119679610866491,0.78265625,0.327265625,0.095703125,0.12204450625869263,0.01782918768481475,0.0035667681600695953,3338.846090195614,511.6235275153676,582.1821373089012,3122.9818493062626,47.85294117647059,7.588235294117647
20266007,heavy_iid,2.004641089108911,2.00990099009901,4.014542079207921,12.0,22.0,22,64.09722176483123,63.205350946525016,59.57031762387839,0.743359375,0.38671875,0.095625,0.061712299000434595,0.07214254671881791,0.015316334522669915,1471.0773708060003,528.1576461082295,1306.361106661,1435.4197137215226,50.689655172413794,7.379310344827586
20266007,lognormal,2.318579826732673,2.3462407178217823,4.6648205445544555,14.0,33.0,83,70.48785819188068,68.97624052148272,38.35962569896965,0.782578125,0.4315625,0.188125,0.08651421615511695,0.05596107055961071,0.0285490469144399,2106.359096876081,621.6316836582904,1008.481357725791,2003.7277689982925,52.13793103448276,7.379310344827586
20266007,markov_burst,2.0244430693069306,1.981512995049505,4.005956064356436,7.0,12.0,12,76.5678069226426,75.44677935595986,51.82751525753159,0.7509375,0.329609375,0.071796875,0.061153578874218205,0.02285962624945676,0.0036543983294179067,2411.1349615742797,564.9817995517526,1172.830927389697,2301.0496575686166,48.93939393939394,7.333333333333333
20266007,forward_heavy,2.004641089108911,2.0,4.004641089108911,13.0,13.0,13,77.9100513612497,76.76356181704456,52.75092987539286,0.767578125,0.297890625,0.064375,0.07127955493741307,0.06771557719054241,0.014351569974776029,2333.082103890192,515.3766384492183,1090.7656745202528,2217.967462961948,47.29032258064516,7.419354838709677
20266007,feedback_heavy,2.0,2.00990099009901,4.00990099009901,13.0,13.0,13,81.00498320295269,80.28460951310663,36.389375148793384,0.7684375,0.30890625,0.07328125,0.0,0.0,0.0,2740.6146849299494,520.5802197447892,818.3856407046668,2640.476332897728,48.81818181818182,7.393939393939394
20266008,fixed,2.0,2.0,4.0,4.0,4.0,4,87.3580825328319,86.53889227222027,11.26624765862268,0.800078125,0.268203125,0.0,0.0,0.0,0.0,2859.3937592052307,361.4821991000804,407.37846598595615,2685.382261328228,43.648648648648646,7.45945945945946
20266008,light_iid,2.001237623762376,1.9999071782178217,4.001144801980198,6.0,6.0,6,84.21202709708896,83.21360241663342,10.711020284947539,0.78203125,0.33640625,0.096171875,0.11929089162518558,0.018951965065502185,0.002881844380403458,2384.9010217504238,376.5275270752053,421.69540773880044,2243.051406385738,41.921052631578945,7.2894736842105265
20266008,heavy_iid,1.994740099009901,1.9952042079207921,3.9899443069306932,12.0,22.0,22,63.022906023252375,61.606138518407114,60.495690342922465,0.74390625,0.38546875,0.095234375,0.06541484716157205,0.07604994324631101,0.014916259595254711,1061.5685026345093,392.5371828467151,993.656606720094,1022.3956843593569,51.371428571428574,9.685714285714285
20266008,lognormal,2.3247524752475246,2.328697400990099,4.653449876237624,14.0,33.0,125,69.57511934188756,68.59264255385003,43.59769800512912,0.788671875,0.4525,0.213828125,0.08878790526959714,0.05464719769170237,0.03143006809848088,1472.629483391581,448.0457628580665,794.3749581334657,1426.563070854564,45.0,7.514285714285714
20266008,markov_burst,1.9964418316831682,2.0100556930693068,4.006497524752476,7.0,12.0,12,75.859484552225,74.99203038580275,53.73732688694459,0.755234375,0.337265625,0.0834375,0.06677140612725845,0.024554351625305837,0.004108391608391608,1786.6508862011601,431.3067331811999,932.2996363119456,1724.6771322704385,43.114285714285714,7.428571428571429
20266008,forward_heavy,1.994740099009901,2.0,3.994740099009901,13.0,13.0,13,77.41679150068873,76.27586755892338,48.84391939413182,0.769296875,0.3146875,0.0715625,0.07126637554585152,0.07023060796645703,0.017366262326555547,1681.4116491392847,379.71669845683283,742.270897143897,1600.5504074803628,42.361111111111114,7.5
20266008,feedback_heavy,2.0,1.9952042079207921,3.995204207920792,13.0,13.0,13,80.7126284604596,79.58401343947737,36.22163865731204,0.7696875,0.3003125,0.06234375,0.0,0.0,0.0,1974.2589131122709,380.7826517244557,597.0405066986118,1865.1200156095128,44.85294117647059,7.5
20266009,fixed,2.0,2.0,4.0,4.0,4.0,4,88.09848332898048,86.94902330978076,5.41650177663295,0.80078125,0.25640625,0.0,0.0,0.0,0.0,4127.254222410045,491.20584933548906,519.3356754213767,3763.7478097988796,46.4375,7.53125
20266009,light_iid,1.994430693069307,2.0020111386138613,3.9964418316831685,6.0,6.0,6,84.92358319413749,84.20345818601773,8.849529945856263,0.7815625,0.328203125,0.09734375,0.12114117238987167,0.01685051680708764,0.002345175019543125,3376.4049134529832,509.0408778057931,558.4621532981902,3222.4830206521356,47.34375,7.59375
20266009,heavy_iid,2.000773514851485,1.984839108910891,3.985612623762376,12.0,22.0,22,62.12668706924803,61.304101150370165,60.47481130030512,0.742109375,0.381953125,0.09203125,0.06586254772648387,0.07572073636679402,0.013547546678245766,1470.977242676861,557.1078142591543,1409.5007072374963,1439.7076455674155,45.92857142857143,7.535714285714286
20266009,lognormal,2.333818069306931,2.3445080445544555,4.678326113861386,14.0,34.0,78,69.9993849555859,69.26216667158336,44.402251769894576,0.784453125,0.438359375,0.20421875,0.08731466227347612,0.053399322740296955,0.031087183049670026,2080.942483961519,624.295543908964,1122.8791880655995,2031.0330179707644,48.125,7.46875
20266009,markov_burst,1.9860767326732673,2.010210396039604,3.996287128712871,7.0,12.0,12,76.92386093614235,75.38580324563743,54.534454716922525,0.754765625,0.334296875,0.072578125,0.06015102855654891,0.023790917773725797,0.00425531914893617,2573.114969827709,593.775588710381,1305.990250448811,2412.3297405800645,47.25806451612903,7.67741935483871
