seed,family,success_probability,delay_slots,capacity,capacity_ratio,method,frozen_inflight_beta,post_cost,total_cost,reference_post_cost,reference_total_cost,post_ratio_to_reference,total_ratio_to_reference,delivery_rate,redundant_attempt_rate,max_inflight_count,detected_fraction,calendar_delay,observation_delay
20261002,capacity,0.9,1,4,0.2,true,16.0,442.30075490836214,494.927965424583,442.30075490836214,494.927965424583,1.0,1.0,0.9053125,0.518671875,2,nan,nan,nan
20261002,capacity,0.9,1,4,0.2,sco_reset_ucb,16.0,471.10913376065196,528.0157520456096,442.30075490836214,494.927965424583,1.0651330085526498,1.0668537422261877,0.905625,0.51984375,2,0.8787878787878788,39.93103448275862,7.310344827586207
20261002,capacity,0.9,1,4,0.2,ps_forced_reset_ucb,16.0,467.3603300410489,523.1376965068002,442.30075490836214,494.927965424583,1.0566573193796125,1.0569976502702105,0.9053125,0.509375,2,0.8787878787878788,40.827586206896555,7.413793103448276
20261002,capacity,0.9,1,4,0.2,inflight_sco_ucb,16.0,195.8030377270854,223.60673915534622,442.30075490836214,494.927965424583,0.44269207220243784,0.4517965335895317,0.90515625,0.003046875,2,0.9090909090909091,40.13333333333333,7.333333333333333
20261002,capacity,0.9,1,8,0.4,true,16.0,111.38270988624853,125.69231192918002,111.38270988624853,125.69231192918002,1.0,1.0,0.9001953125,0.5508203125,2,nan,nan,nan
20261002,capacity,0.9,1,8,0.4,sco_reset_ucb,16.0,114.05659209615393,128.74537184304134,111.38270988624853,125.69231192918002,1.0240062592536683,1.0242899495363051,0.9006640625,0.5367578125,2,0.9393939393939394,20.06451612903226,7.193548387096774
20261002,capacity,0.9,1,8,0.4,ps_forced_reset_ucb,16.0,113.80179033673397,129.1748565246998,111.38270988624853,125.69231192918002,1.0217186352617562,1.027706902212778,0.90078125,0.5336328125,2,0.9393939393939394,20.258064516129032,7.32258064516129
20261002,capacity,0.9,1,8,0.4,inflight_sco_ucb,16.0,85.90313881968015,98.07743444704026,111.38270988624853,125.69231192918002,0.7712430314131357,0.7802977997755418,0.90046875,0.058125,2,0.9696969696969697,21.0625,7.46875
20261003,delay,0.9,0,4,0.2,true,16.0,91.89405477859046,105.64504774794526,91.89405477859046,105.64504774794526,1.0,1.0,0.901953125,0.0,1,nan,nan,nan
20261003,delay,0.9,0,4,0.2,sco_reset_ucb,16.0,97.13875154779775,110.95740684908945,91.89405477859046,105.64504774794526,1.0570732979608297,1.0502849798867882,0.901015625,0.0,1,0.975609756097561,39.975,7.4
20261003,delay,0.9,0,4,0.2,ps_forced_reset_ucb,16.0,98.15317143184281,112.54781498633321,91.89405477859046,105.64504774794526,1.068112313340978,1.0653392410296127,0.90125,0.0,1,0.975609756097561,39.575,7.425
20261003,delay,0.9,0,4,0.2,inflight_sco_ucb,16.0,97.13875154779775,110.95740684908945,91.89405477859046,105.64504774794526,1.0570732979608297,1.0502849798867882,0.901015625,0.0,1,0.975609756097561,39.975,7.4
20261003,delay,0.9,1,4,0.2,true,16.0,378.9473883434504,427.05411532292834,378.9473883434504,427.05411532292834,1.0,1.0,0.90078125,0.5203125,2,nan,nan,nan
20261003,delay,0.9,1,4,0.2,sco_reset_ucb,16.0,409.18044346632996,459.58624776731426,378.9473883434504,427.05411532292834,1.079781669046571,1.0761780094772904,0.89984375,0.521875,2,0.9512195121951219,39.35897435897436,7.256410256410256
20261003,delay,0.9,1,4,0.2,ps_forced_reset_ucb,16.0,406.9003269210029,453.7618387396509,378.9473883434504,427.05411532292834,1.073764695146066,1.06253943577274,0.899765625,0.511484375,2,0.926829268292683,39.81578947368421,7.342105263157895
20261003,delay,0.9,1,4,0.2,inflight_sco_ucb,16.0,170.2864881662632,196.80594424370105,378.9473883434504,427.05411532292834,0.44936709792528745,0.460845446003678,0.9,0.001796875,2,0.9512195121951219,41.205128205128204,7.358974358974359
20261003,delay,0.9,3,4,0.2,true,16.0,2021.6965836853553,2240.458483350078,2021.6965836853553,2240.458483350078,1.0,1.0,0.8990625,0.750234375,4,nan,nan,nan
20261003,delay,0.9,3,4,0.2,sco_reset_ucb,16.0,2203.6396054351194,2443.867790738441,2021.6965836853553,2240.458483350078,1.0899952165018252,1.0907891437846293,0.897265625,0.752890625,4,1.0,40.609756097560975,7.2439024390243905
20261003,delay,0.9,3,4,0.2,ps_forced_reset_ucb,16.0,2075.121223165449,2310.2723348729724,2021.6965836853553,2240.458483350078,1.0264256466134527,1.0311605200639578,0.8975,0.741484375,4,0.975609756097561,41.3,7.3
20261003,delay,0.9,3,4,0.2,inflight_sco_ucb,16.0,459.70031708085395,535.5128602876716,2021.6965836853553,2240.458483350078,0.2273834366593553,0.23901931870968582,0.89734375,0.1203125,4,0.926829268292683,43.5,7.2368421052631575
20261003,delay,0.9,5,4,0.2,true,16.0,5906.555863905288,6479.655812769341,5906.555863905288,6479.655812769341,1.0,1.0,0.896875,0.831484375,6,nan,nan,nan
