seed,delay_slots,method,inflight_beta,post_excess_pct,total_excess_pct,redundant_attempt_rate,calendar_delay,detected_fraction
20262002,3,ps_forced_reset_ucb,nan,9.5093917502366,6.3239128455965075,0.7395833333333334,35.22222222222222,1.0
20262002,3,inflight_sco_ucb,0.0,11.151595086452936,10.017740326137869,0.7494791666666667,34.75,0.8888888888888888
20262002,3,inflight_sco_ucb,0.25,-10.315860325903875,-9.267912908193004,0.7286458333333333,38.888888888888886,1.0
20262002,3,inflight_sco_ucb,0.5,-21.921208841544292,-23.306348265318995,0.7072916666666667,36.0,1.0
20262002,3,inflight_sco_ucb,1.0,-46.39297960032967,-46.36579673347646,0.6494791666666667,41.77777777777778,1.0
20262002,3,inflight_sco_ucb,2.0,-58.48294827437078,-58.243918824339225,0.5838541666666667,37.888888888888886,1.0
20262002,3,inflight_sco_ucb,4.0,-64.24163434836368,-63.97255911458294,0.4947916666666667,37.333333333333336,1.0
20262002,5,sco_reset_ucb,nan,11.029272562602966,9.654179795869421,0.8307291666666666,38.44444444444444,1.0
20262002,5,ps_forced_reset_ucb,nan,1.8138521997215387,2.6103403192041297,0.8223958333333333,43.888888888888886,1.0
20262002,5,inflight_sco_ucb,0.0,11.029272562602966,9.654179795869421,0.8307291666666666,38.44444444444444,1.0
20262002,5,inflight_sco_ucb,0.25,-22.37881606593743,-20.83101074397416,0.8057291666666667,41.666666666666664,1.0
20262002,5,inflight_sco_ucb,0.5,-40.07708766555908,-39.550789147851894,0.7854166666666667,40.22222222222222,1.0
20262002,5,inflight_sco_ucb,1.0,-57.953282255120016,-56.20533880392134,0.746875,39.666666666666664,1.0
20262002,5,inflight_sco_ucb,2.0,-68.34242985564052,-67.78997928789697,0.7052083333333333,42.44444444444444,1.0
20262002,5,inflight_sco_ucb,4.0,-73.00959006004788,-71.81443675167327,0.6791666666666667,42.666666666666664,1.0
20262003,1,sco_reset_ucb,nan,5.698900335300417,5.640452314025657,0.5260416666666666,35.625,0.8888888888888888
20262003,1,ps_forced_reset_ucb,nan,7.682187891671366,6.755840050590967,0.5229166666666667,38.0,0.8888888888888888
20262003,1,inflight_sco_ucb,0.0,5.698900335300417,5.640452314025657,0.5260416666666666,35.625,0.8888888888888888
20262003,1,inflight_sco_ucb,0.25,-1.3057836325913341,-1.1530240487783894,0.5015625,36.55555555555556,1.0
20262003,1,inflight_sco_ucb,0.5,-6.098241265906962,-7.029762129938916,0.4708333333333333,39.22222222222222,1.0
20262003,1,inflight_sco_ucb,1.0,-20.942461124471897,-21.466001616126526,0.4036458333333333,42.55555555555556,1.0
20262003,1,inflight_sco_ucb,2.0,-34.505186749561446,-33.97968305663913,0.278125,40.666666666666664,1.0
20262003,1,inflight_sco_ucb,4.0,-42.37510198202561,-41.86733575701438,0.128125,38.55555555555556,1.0
20262003,3,sco_reset_ucb,nan,10.628276940822413,7.566041884157237,0.7526041666666666,36.25,0.8888888888888888
20262003,3,ps_forced_reset_ucb,nan,4.647896150346953,2.6416523472743703,0.74375,40.111111111111114,1.0
20262003,3,inflight_sco_ucb,0.0,10.628276940822413,7.566041884157237,0.7526041666666666,36.25,0.8888888888888888
20262003,3,inflight_sco_ucb,0.25,-9.551794782515206,-11.0620673621523,0.7302083333333333,45.77777777777778,1.0
20262003,3,inflight_sco_ucb,0.5,-28.451704069279785,-29.26425494960734,0.6984375,49.0,0.8888888888888888
20262003,3,inflight_sco_ucb,1.0,-47.52921762425895,-47.80367075351931,0.6463541666666667,45.77777777777778,1.0
20262003,3,inflight_sco_ucb,2.0,-59.985599996684144,-59.240875857249186,0.5776041666666667,48.0,1.0
20262003,3,inflight_sco_ucb,4.0,-64.43924192003804,-64.23403821768225,0.5036458333333333,46.333333333333336,1.0
20262003,5,sco_reset_ucb,nan,3.800800591764669,5.165240575992924,0.8286458333333333,45.666666666666664,1.0
20262003,5,ps_forced_reset_ucb,nan,-0.7635091890310477,1.1115925293095241,0.8213541666666667,41.57142857142857,0.7777777777777778
20262003,5,inflight_sco_ucb,0.0,3.800800591764669,5.165240575992924,0.8286458333333333,45.666666666666664,1.0
20262003,5,inflight_sco_ucb,0.25,-26.853108901710712,-24.4928520678763,0.8020833333333334,43.666666666666664,1.0
20262003,5,inflight_sco_ucb,0.5,-42.599371672749264,-43.346397182738315,0.7755208333333333,44.77777777777778,1.0
20262003,5,inflight_sco_ucb,1.0,-59.15656704293991,-57.6185964505451,0.746875,50.888888888888886,1.0
20262003,5,inflight_sco_ucb,2.0,-68.45345126659578,-66.94363614281221,0.7145833333333333,49.44444444444444,1.0
20262003,5,inflight_sco_ucb,4.0,-72.31119792239508,-70.4162744490252,0.6807291666666667,48.75,0.8888888888888888
20262004,1,sco_reset_ucb,nan,13.40579772968632,15.727005762760605,0.5223958333333333,34.75,1.0
20262004,1,ps_forced_reset_ucb,nan,12.82320811191492,14.71917315922654,0.5151041666666667,34.125,1.0
20262004,1,inflight_sco_ucb,0.0,13.40579772968632,15.727005762760605,0.5223958333333333,34.75,1.0
20262004,1,inflight_sco_ucb,0.25,7.614076844958534,9.01979489948863,0.503125,36.375,1.0
20262004,1,inflight_sco_ucb,0.5,-1.4566531149647512,1.4069809991001825,0.471875,32.5,1.0
20262004,1,inflight_sco_ucb,1.0,-13.3190394364891,-12.886225248229694,0.39791666666666664,36.625,1.0
20262004,1,inflight_sco_ucb,2.0,-30.53886381099168,-28.032211755286944,0.26510416666666664,36.375,1.0
20262004,1,inflight_sco_ucb,4.0,-39.97919931044818,-36.63673576698589,0.12604166666666666,36.375,1.0
20262004,3,sco_reset_ucb,nan,12.794570925651572,17.045735824381037,0.7494791666666667,39.5,1.0
20262004,3,ps_forced_reset_ucb,nan,10.448414918056004,11.729760863099836,0.7380208333333333,38.625,1.0
20262004,3,inflight_sco_ucb,0.0,12.794570925651572,17.045735824381037,0.7494791666666667,39.5,1.0
20262004,3,inflight_sco_ucb,0.25,-4.315945290168049,-4.869670292647621,0.7260416666666667,37.0,1.0
20262004,3,inflight_sco_ucb,0.5,-22.471530413538876,-22.620049805329135,0.6984375,36.5,1.0
20262004,3,inflight_sco_ucb,1.0,-40.96374564154148,-40.156154090380745,0.6541666666666667,40.25,1.0
20262004,3,inflight_sco_ucb,2.0,-57.033267578875325,-55.123155895704954,0.5791666666666667,38.0,1.0
20262004,3,inflight_sco_ucb,4.0,-61.89120346098981,-60.32435459057024,0.503125,39.625,1.0
20262004,5,sco_reset_ucb,nan,26.834529001265807,19.15299127481638,0.8307291666666666,41.5,1.0
20262004,5,ps_forced_reset_ucb,nan,15.050372946048507,9.758570968123282,0.821875,40.75,1.0
20262004,5,inflight_sco_ucb,0.0,26.834529001265807,19.15299127481638,0.8307291666666666,41.5,1.0
20262004,5,inflight_sco_ucb,0.25,-14.729484685458822,-18.387723349219076,0.8046875,39.125,1.0
20262004,5,inflight_sco_ucb,0.5,-32.13837233679526,-36.10384320824315,0.7802083333333333,35.5,1.0
20262004,5,inflight_sco_ucb,1.0,-53.54869759734687,-54.340538954224925,0.7421875,42.625,1.0
20262004,5,inflight_sco_ucb,2.0,-63.897405513485886,-63.78069275664091,0.7067708333333333,43.125,1.0
20262004,5,inflight_sco_ucb,4.0,-68.02909564690907,-67.57348741421134,0.6838541666666667,43.25,1.0
20262005,1,sco_reset_ucb,nan,10.948340302147741,9.634722944979767,0.5151041666666667,38.9,1.0
20262005,1,ps_forced_reset_ucb,nan,7.790135201895454,7.145459258816389,0.5046875,38.2,1.0
20262005,1,inflight_sco_ucb,0.0,10.948340302147741,9.634722944979767,0.5151041666666667,38.9,1.0
20262005,1,inflight_sco_ucb,0.25,3.2918353299284275,3.4345388707037294,0.49947916666666664,39.4,1.0
20262005,1,inflight_sco_ucb,0.5,-5.290218638080768,-4.736168097303945,0.46822916666666664,38.3,1.0
20262005,1,inflight_sco_ucb,1.0,-17.657315823550057,-16.771575144334292,0.39427083333333335,42.8,1.0
20262005,1,inflight_sco_ucb,2.0,-34.05432487269449,-32.325669920264204,0.2625,40.0,1.0
20262005,1,inflight_sco_ucb,4.0,-41.6490761544961,-39.54901625796602,0.12604166666666666,42.4,1.0
20262005,3,sco_reset_ucb,nan,10.07474498449934,8.564337454997927,0.7484375,35.5,1.0
20262005,3,ps_forced_reset_ucb,nan,3.432652115278012,5.683424229158584,0.7401041666666667,37.8,1.0
20262005,3,inflight_sco_ucb,0.0,10.07474498449934,8.564337454997927,0.7484375,35.5,1.0
20262005,3,inflight_sco_ucb,0.25,-8.079577853845265,-8.766528630660453,0.7260416666666667,42.8,1.0
20262005,3,inflight_sco_ucb,0.5,-25.76392477583427,-26.996101269200818,0.6958333333333333,47.8,1.0
20262005,3,inflight_sco_ucb,1.0,-46.5087677628413,-44.76119965731429,0.6473958333333333,48.6,1.0
20262005,3,inflight_sco_ucb,2.0,-58.401670615481734,-56.361269121606384,0.5817708333333333,43.8,1.0
20262005,3,inflight_sco_ucb,4.0,-65.09234627811648,-62.94583707165633,0.5057291666666667,43.5,1.0
20262005,5,sco_reset_ucb,nan,8.9778441138599,10.479204552527577,0.8307291666666666,42.6,1.0
20262005,5,ps_forced_reset_ucb,nan,0.7235228705381958,1.5821584016282975,0.8203125,41.4,1.0
20262005,5,inflight_sco_ucb,0.0,8.9778441138599,10.479204552527577,0.8307291666666666,42.6,1.0
20262005,5,inflight_sco_ucb,0.25,-24.946945496514445,-23.210092000776932,0.8052083333333333,46.1,1.0
20262005,5,inflight_sco_ucb,0.5,-42.836002566337754,-41.32069408129261,0.7802083333333333,53.2,1.0
20262005,5,inflight_sco_ucb,1.0,-59.81304034523117,-57.80844408789069,0.7447916666666666,50.9,1.0
20262005,5,inflight_sco_ucb,2.0,-69.81517311143547,-67.04820726149242,0.7052083333333333,50.7,1.0
20262005,5,inflight_sco_ucb,4.0,-72.9152280559029,-70.00948774044349,0.6765625,46.8,1.0
