success_probability,delay_slots,capacity,capacity_ratio,method,post_change_slot,independent_seeds,cumulative_excess_pct_mean,cumulative_excess_pct_ci_low,cumulative_excess_pct_ci_high
0.9,0,2,0.1,ps_forced_reset_ucb,390,12,11.970721621653473,10.593335645656387,13.348107597650559
0.9,0,2,0.1,ps_forced_reset_ucb,400,12,11.778458116282657,10.329468883317455,13.227447349247859
0.9,0,2,0.1,inflight_sco_ucb,10,12,25.28596593161733,14.357790657408517,36.214141205826145
0.9,0,2,0.1,inflight_sco_ucb,20,12,29.229685284418526,21.163571886701238,37.29579868213581
0.9,0,2,0.1,inflight_sco_ucb,30,12,28.62216038500402,23.752687160444374,33.491633609563664
0.9,0,2,0.1,inflight_sco_ucb,40,12,26.25489767523541,21.63533919835694,30.874456152113876
0.9,0,2,0.1,inflight_sco_ucb,50,12,24.47578890534191,20.672324984412263,28.27925282627156
0.9,0,2,0.1,inflight_sco_ucb,60,12,23.7717056419786,20.821870435909258,26.72154084804794
0.9,0,2,0.1,inflight_sco_ucb,70,12,22.06333004719616,19.744948509874582,24.38171158451774
0.9,0,2,0.1,inflight_sco_ucb,80,12,21.27217310508084,18.88313949224981,23.661206717911867
0.9,0,2,0.1,inflight_sco_ucb,90,12,20.475100103897354,18.083933721503644,22.866266486291064
0.9,0,2,0.1,inflight_sco_ucb,100,12,18.614402007273267,16.291761181326248,20.937042833220286
0.9,0,2,0.1,inflight_sco_ucb,110,12,18.09821792052109,15.938191391247075,20.258244449795107
0.9,0,2,0.1,inflight_sco_ucb,120,12,17.441026777118886,15.199953992985348,19.68209956125242
0.9,0,2,0.1,inflight_sco_ucb,130,12,16.529323066379508,14.566818025703796,18.49182810705522
0.9,0,2,0.1,inflight_sco_ucb,140,12,15.847873511004105,13.93454863749803,17.76119838451018
0.9,0,2,0.1,inflight_sco_ucb,150,12,15.150032032392,13.143922019244323,17.156142045539674
0.9,0,2,0.1,inflight_sco_ucb,160,12,14.950061163433126,13.151703712085464,16.74841861478079
0.9,0,2,0.1,inflight_sco_ucb,170,12,14.528222963433295,12.89862891623136,16.15781701063523
0.9,0,2,0.1,inflight_sco_ucb,180,12,14.316016800038211,12.673564112266359,15.958469487810063
0.9,0,2,0.1,inflight_sco_ucb,190,12,13.541914028289275,12.050194455201051,15.033633601377499
0.9,0,2,0.1,inflight_sco_ucb,200,12,13.079889884304366,11.66048973107724,14.499290037531493
0.9,0,2,0.1,inflight_sco_ucb,210,12,12.77364054826417,11.245105822284836,14.302175274243504
0.9,0,2,0.1,inflight_sco_ucb,220,12,12.295229984370366,10.725578480514404,13.864881488226327
0.9,0,2,0.1,inflight_sco_ucb,230,12,11.833848492308464,10.328867619533826,13.338829365083102
0.9,0,2,0.1,inflight_sco_ucb,240,12,11.374779050039498,10.010061179147486,12.73949692093151
0.9,0,2,0.1,inflight_sco_ucb,250,12,11.665266158460819,10.421779618897475,12.908752698024163
0.9,0,2,0.1,inflight_sco_ucb,260,12,11.403376126987814,10.197804784652412,12.608947469323216
0.9,0,2,0.1,inflight_sco_ucb,270,12,11.142747200523646,10.034829476942932,12.25066492410436
0.9,0,2,0.1,inflight_sco_ucb,280,12,11.161215636511043,9.990617637320621,12.331813635701465
0.9,0,2,0.1,inflight_sco_ucb,290,12,10.992591235059841,9.801673810944678,12.183508659175004
0.9,0,2,0.1,inflight_sco_ucb,300,12,10.923125626493464,9.719742989762443,12.126508263224485
0.9,0,2,0.1,inflight_sco_ucb,310,12,10.790093509493401,9.599776497767355,11.980410521219447
0.9,0,2,0.1,inflight_sco_ucb,320,12,10.548657256830761,9.309553502229234,11.78776101143229
0.9,0,2,0.1,inflight_sco_ucb,330,12,10.178196926500087,8.963749387181338,11.392644465818837
0.9,0,2,0.1,inflight_sco_ucb,340,12,9.991461721482688,8.857850666507652,11.125072776457724
0.9,0,2,0.1,inflight_sco_ucb,350,12,9.873205180547558,8.733085247462313,11.013325113632803
0.9,0,2,0.1,inflight_sco_ucb,360,12,9.821759119851464,8.647438361898846,10.996079877804082
0.9,0,2,0.1,inflight_sco_ucb,370,12,9.76801333680966,8.587460876894447,10.948565796724875
0.9,0,2,0.1,inflight_sco_ucb,380,12,9.721261549944991,8.403193863259316,11.039329236630666
0.9,0,2,0.1,inflight_sco_ucb,390,12,9.562729572701906,8.180647762191114,10.944811383212699
0.9,0,2,0.1,inflight_sco_ucb,400,12,9.453829230693193,7.9835451679366525,10.924113293449734
0.9,1,2,0.1,cumulative_ucb_cv,10,12,31.436622886609296,22.67322630629141,40.20001946692718
0.9,1,2,0.1,cumulative_ucb_cv,20,12,32.236360590215966,26.14437274131246,38.32834843911947
0.9,1,2,0.1,cumulative_ucb_cv,30,12,28.635629116210684,23.968936599381202,33.302321633040165
0.9,1,2,0.1,cumulative_ucb_cv,40,12,28.527160978648038,23.944342262017727,33.10997969527835
0.9,1,2,0.1,cumulative_ucb_cv,50,12,27.2664674120593,22.638807757925058,31.89412706619354
0.9,1,2,0.1,cumulative_ucb_cv,60,12,26.49911258949757,22.280358521460695,30.717866657534447
0.9,1,2,0.1,cumulative_ucb_cv,70,12,25.796788249780107,21.675489131749114,29.9180873678111
0.9,1,2,0.1,cumulative_ucb_cv,80,12,24.527620911178555,20.93323631859571,28.1220055037614
0.9,1,2,0.1,cumulative_ucb_cv,90,12,23.556728114844404,20.32047007830742,26.79298615138139
0.9,1,2,0.1,cumulative_ucb_cv,100,12,22.847886230481368,19.592741716285527,26.10303074467721
0.9,1,2,0.1,cumulative_ucb_cv,110,12,22.81846689674873,19.629855026121923,26.00707876737554
0.9,1,2,0.1,cumulative_ucb_cv,120,12,22.103826471493207,19.246856141880635,24.96079680110578
0.9,1,2,0.1,cumulative_ucb_cv,130,12,21.722215098747053,18.924644930530526,24.51978526696358
0.9,1,2,0.1,cumulative_ucb_cv,140,12,21.23818878598843,18.71903761274522,23.757339959231643
0.9,1,2,0.1,cumulative_ucb_cv,150,12,20.964456750240668,18.575376174346857,23.35353732613448
0.9,1,2,0.1,cumulative_ucb_cv,160,12,20.40997704157246,18.14668694026917,22.67326714287575
0.9,1,2,0.1,cumulative_ucb_cv,170,12,19.948934544357694,17.616147110559748,22.28172197815564
0.9,1,2,0.1,cumulative_ucb_cv,180,12,19.435842438877085,17.41223828551418,21.45944659223999
0.9,1,2,0.1,cumulative_ucb_cv,190,12,19.250156509453916,17.402808109184974,21.097504909722858
0.9,1,2,0.1,cumulative_ucb_cv,200,12,18.727118992790988,16.854430697297488,20.599807288284488
0.9,1,2,0.1,cumulative_ucb_cv,210,12,18.04524995854236,16.17289640561929,19.91760351146543
0.9,1,2,0.1,cumulative_ucb_cv,220,12,17.8356502473523,16.080499787206605,19.590800707497998
0.9,1,2,0.1,cumulative_ucb_cv,230,12,17.40222908123096,15.71505088940508,19.08940727305684
0.9,1,2,0.1,cumulative_ucb_cv,240,12,17.652603043842017,16.087796940386237,19.217409147297797
0.9,1,2,0.1,cumulative_ucb_cv,250,12,17.58102613269035,15.95753277772361,19.20451948765709
0.9,1,2,0.1,cumulative_ucb_cv,260,12,17.369907885136826,15.772618305999066,18.967197464274584
0.9,1,2,0.1,cumulative_ucb_cv,270,12,17.24994337186786,15.567693676557298,18.932193067178424
0.9,1,2,0.1,cumulative_ucb_cv,280,12,17.302768960937048,15.5974896503423,19.008048271531795
0.9,1,2,0.1,cumulative_ucb_cv,290,12,17.381520188609475,15.702697573570438,19.060342803648513
0.9,1,2,0.1,cumulative_ucb_cv,300,12,17.237249703230088,15.539207534664786,18.93529187179539
